timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T09:43:50Z	11	6113.000	445.833	3001858	384864
2026-08-24T09:43:55Z	11	22135.800	613.800	3112537	387933
2026-08-24T09:44:00Z	11	0.000	0.000	3112537	387933
2026-08-24T09:44:05Z	11	0.000	0.000	3112537	387933
2026-08-24T09:44:10Z	11	6909.200	449.200	3147083	390179
2026-08-24T09:44:15Z	11	25791.000	1023.000	3276038	395294
2026-08-24T09:44:20Z	11	885.800	179.000	3280467	396189
2026-08-24T09:44:25Z	11	0.000	0.000	3280467	396189
2026-08-24T09:44:30Z	12	0.000	0.000	3280467	396189
2026-08-24T09:44:35Z	10	6297.800	643.400	3311956	399406
2026-08-24T09:44:40Z	11	20723.800	119.800	3415575	400005
2026-08-24T09:44:45Z	10	245.200	299.000	3416801	401500
2026-08-24T09:44:50Z	10	0.000	0.000	3416801	401500
2026-08-24T09:44:55Z	12	1269.600	301.000	3423149	403005
2026-08-24T09:45:00Z	11	3680.400	486.800	3441551	405439
2026-08-24T09:45:05Z	11	23123.000	475.800	3557166	407818
2026-08-24T09:45:11Z	11	2829.500	533.167	3574143	411017
2026-08-24T09:45:16Z	11	0.000	0.000	3574143	411017
2026-08-24T09:45:21Z	11	0.000	0.000	3574143	411017
2026-08-24T09:45:26Z	12	943.200	421.400	3578859	413124
2026-08-24T09:45:31Z	12	21224.600	281.400	3684982	414531
2026-08-24T09:45:36Z	12	2277.400	972.000	3696369	419391
2026-08-24T09:45:41Z	12	2450.400	1678.800	3708621	427785
2026-08-24T09:45:46Z	11	9061.800	1125.800	3753930	433414
2026-08-24T09:45:51Z	10	3888.200	382.800	3773371	435328
2026-08-24T09:45:56Z	11	3987.000	746.000	3793306	439058
2026-08-24T09:46:01Z	11	6376.400	1750.400	3825188	447810
2026-08-24T09:46:06Z	11	2129.600	501.600	3835836	450318
2026-08-24T09:46:11Z	11	3204.800	718.400	3851860	453910
2026-08-24T09:46:16Z	12	5500.200	381.800	3879361	455819
2026-08-24T09:46:21Z	11	5351.400	1351.600	3906118	462577
2026-08-24T09:46:26Z	11	1410.600	1172.800	3913171	468441
2026-08-24T09:46:31Z	12	1881.800	516.400	3922580	471023
2026-08-24T09:46:36Z	11	4611.600	1288.800	3945638	477467
